X,Y,Z
0.284505,0.043084,0.05423
0.434123,0.039677,0.037553
0.573578,0.036626,0.010418
0.751464,0.034165,-0.024552
1.019151,0.032449,-0.061879
1.388052,0.031648,-0.094124
1.79827,0.031736,-0.113359
2.13592,0.032286,-0.113357
2.287542,0.032613,-0.091882
2.202716,0.03216,-0.052076
1.922139,0.030806,-0.002116
1.541789,0.028892,0.047402
1.151989,0.02687,0.086839
0.797571,0.024923,0.110022
0.473118,0.022911,0.11543
0.151291,0.02056,0.105834
-0.184236,0.017679,0.086792
-0.525633,0.01427,0.064373
-0.843838,0.010452,0.042908
-1.098373,0.006289,0.023682
-1.248674,0.001681,0.0051
-1.2659,-0.003579,-0.015466
-1.145205,-0.009565,-0.039573
-0.916272,-0.016041,-0.06678
-0.64502,-0.022544,-0.09506
-0.418323,-0.028608,-0.122119
-0.315492,-0.033886,-0.146307
-0.375127,-0.038165,-0.16614
-0.574301,-0.041312,-0.179245
-0.836156,-0.043305,-0.181948
-1.059919,-0.044398,-0.17009
-1.161975,-0.045188,-0.141084
-1.108306,-0.046385,-0.09588
-0.920788,-0.048498,-0.039421
-0.659964,-0.051721,0.020415
-0.391766,-0.056005,0.074997
-0.156165,-0.061179,0.117195
0.045319,-0.066992,0.142782
0.240335,-0.072982,0.150776
0.457711,-0.078377,0.142791
0.700578,-0.0822,0.122132
0.939258,-0.083487,0.093204
1.123258,-0.081478,0.061064
1.205123,-0.075683,0.030814
1.159642,-0.065841,0.006781
0.986537,-0.05185,-0.008315
0.70566,-0.033793,-0.013837
0.354726,-0.012001,-0.011015
-0.012257,0.012885,-0.00237
-0.332354,0.039913,0.008846
-0.549019,0.067879,0.019118
-0.633022,0.095451,0.025113
-0.596259,0.121346,0.02428
-0.48626,0.144484,0.015628
-0.367424,0.164075,0.000315
-0.297268,0.179544,-0.018467
-0.304363,0.190356,-0.03635
-0.374907,0.195924,-0.049278
-0.455308,0.195772,-0.054913
-0.476228,0.189717,-0.053221
-0.384446,0.177811,-0.046108
-0.166257,0.160197,-0.036158
0.146474,0.137072,-0.025217
0.491672,0.108775,-0.013622
0.800811,0.075932,-0.000488
1.018637,0.039499,0.014877
1.115769,0.000653,0.031517
1.092718,-0.039331,0.046527
0.973739,-0.079055,0.056108
0.790646,-0.11694,0.057654
0.569361,-0.151305,0.051434
0.329801,-0.180494,0.040536
0.091051,-0.202954,0.029511
-0.128168,-0.217367,0.022479
-0.313226,-0.222857,0.021485
-0.456158,-0.219132,0.025762
-0.550782,-0.206395,0.031963
-0.580447,-0.185145,0.035414
-0.516409,-0.156071,0.03186
-0.340487,-0.120083,0.019159
-0.070792,-0.078446,-0.001772
0.234821,-0.032806,-0.027297
0.497201,0.015031,-0.052212
0.647444,0.063311,-0.071204
0.65405,0.110314,-0.080211
0.530583,0.154286,-0.077408
0.325256,0.193539,-0.06364
0.097494,0.226667,-0.042105
-0.106607,0.252688,-0.017349
-0.268333,0.271054,0.006221
-0.394507,0.281505,0.025663
-0.500118,0.283948,0.040007
-0.59407,0.278487,0.049898
-0.682106,0.265469,0.056546
-0.772762,0.245413,0.060593
-0.870542,0.218949,0.061502
-0.963182,0.186913,0.057567
-1.016852,0.15046,0.046571
-0.986705,0.111015,0.026778
-0.842973,0.070094,-0.002031
-0.593098,0.029082,-0.037802
