No,X,Y,Z,Tabel
250,0.342478,0.004217,0.003633,Gempa
251,0.241683,-0.011668,-0.02733,Gempa
252,0.101386,-0.025647,-0.055287,Gempa
253,-0.040664,-0.03728,-0.076566,Gempa
254,-0.148575,-0.04634,-0.086948,Gempa
255,-0.206433,-0.052819,-0.082499,Gempa
256,-0.221556,-0.056858,-0.06119,Gempa
257,-0.218546,-0.058574,-0.024653,Gempa
258,-0.230764,-0.057979,0.020848,Gempa
259,-0.287797,-0.055107,0.065071,Gempa
260,-0.398251,-0.050172,0.096636,Gempa
261,-0.540187,-0.04353,0.106921,Gempa
262,-0.671597,-0.035561,0.093377,Gempa
263,-0.752836,-0.026612,0.060769,Gempa
264,-0.767859,-0.017042,0.019217,Gempa
265,-0.732219,-0.007281,-0.019491,Gempa
266,-0.681286,0.0022,-0.045647,Gempa
267,-0.652565,0.011048,-0.054223,Gempa
268,-0.674608,0.019151,-0.045541,Gempa
269,-0.758545,0.02654,-0.024406,Gempa
270,-0.888053,0.033213,0.001884,Gempa
271,-1.017139,0.039034,0.026058,Gempa
272,-1.086586,0.043788,0.043263,Gempa
273,-1.0507,0.047325,0.052443,Gempa
274,-0.89997,0.049635,0.055844,Gempa
275,-0.665126,0.050729,0.057138,Gempa
276,-0.395329,0.050537,0.058974,Gempa
277,-0.132494,0.049027,0.061228,Gempa
278,0.097617,0.046392,0.061033,Gempa
279,0.284505,0.043084,0.05423,Gempa
280,0.434123,0.039677,0.037553,Gempa
281,0.573578,0.036626,0.010418,Gempa
282,0.751464,0.034165,-0.024552,Gempa
283,1.019151,0.032449,-0.061879,Gempa
284,1.388052,0.031648,-0.094124,Gempa
285,1.79827,0.031736,-0.113359,Gempa
286,2.13592,0.032286,-0.113357,Gempa
287,2.287542,0.032613,-0.091882,Gempa
288,2.202716,0.03216,-0.052076,Gempa
289,1.922139,0.030806,-0.002116,Gempa
290,1.541789,0.028892,0.047402,Gempa
291,1.151989,0.02687,0.086839,Gempa
292,0.797571,0.024923,0.110022,Gempa
293,0.473118,0.022911,0.11543,Gempa
294,0.151291,0.02056,0.105834,Gempa
295,-0.184236,0.017679,0.086792,Gempa
296,-0.525633,0.01427,0.064373,Gempa
297,-0.843838,0.010452,0.042908,Gempa
298,-1.098373,0.006289,0.023682,Gempa
299,-1.248674,0.001681,0.0051,Gempa
300,-1.2659,-0.003579,-0.015466,Gempa
301,-1.145205,-0.009565,-0.039573,Gempa
302,-0.916272,-0.016041,-0.06678,Gempa
303,-0.64502,-0.022544,-0.09506,Gempa
304,-0.418323,-0.028608,-0.122119,Gempa
305,-0.315492,-0.033886,-0.146307,Gempa
306,-0.375127,-0.038165,-0.16614,Gempa
307,-0.574301,-0.041312,-0.179245,Gempa
308,-0.836156,-0.043305,-0.181948,Gempa
309,-1.059919,-0.044398,-0.17009,Gempa
310,-1.161975,-0.045188,-0.141084,Gempa
311,-1.108306,-0.046385,-0.09588,Gempa
312,-0.920788,-0.048498,-0.039421,Gempa
313,-0.659964,-0.051721,0.020415,Gempa
314,-0.391766,-0.056005,0.074997,Gempa
315,-0.156165,-0.061179,0.117195,Gempa
316,0.045319,-0.066992,0.142782,Gempa
317,0.240335,-0.072982,0.150776,Gempa
318,0.457711,-0.078377,0.142791,Gempa
319,0.700578,-0.0822,0.122132,Gempa
320,0.939258,-0.083487,0.093204,Gempa
321,1.123258,-0.081478,0.061064,Gempa
322,1.205123,-0.075683,0.030814,Gempa
323,1.159642,-0.065841,0.006781,Gempa
324,0.986537,-0.05185,-0.008315,Gempa
325,0.70566,-0.033793,-0.013837,Gempa
326,0.354726,-0.012001,-0.011015,Gempa
327,-0.012257,0.012885,-0.00237,Gempa
328,-0.332354,0.039913,0.008846,Gempa
329,-0.549019,0.067879,0.019118,Gempa
330,-0.633022,0.095451,0.025113,Gempa
331,-0.596259,0.121346,0.02428,Gempa
332,-0.48626,0.144484,0.015628,Gempa
333,-0.367424,0.164075,0.000315,Gempa
334,-0.297268,0.179544,-0.018467,Gempa
335,-0.304363,0.190356,-0.03635,Gempa
336,-0.374907,0.195924,-0.049278,Gempa
337,-0.455308,0.195772,-0.054913,Gempa
338,-0.476228,0.189717,-0.053221,Gempa
339,-0.384446,0.177811,-0.046108,Gempa
340,-0.166257,0.160197,-0.036158,Gempa
341,0.146474,0.137072,-0.025217,Gempa
342,0.491672,0.108775,-0.013622,Gempa
343,0.800811,0.075932,-0.000488,Gempa
344,1.018637,0.039499,0.014877,Gempa
345,1.115769,0.000653,0.031517,Gempa
346,1.092718,-0.039331,0.046527,Gempa
347,0.973739,-0.079055,0.056108,Gempa
348,0.790646,-0.11694,0.057654,Gempa
349,0.569361,-0.151305,0.051434,Gempa
350,0.329801,-0.180494,0.040536,Gempa
351,0.091051,-0.202954,0.029511,Gempa
352,-0.128168,-0.217367,0.022479,Gempa
353,-0.313226,-0.222857,0.021485,Gempa
354,-0.456158,-0.219132,0.025762,Gempa
355,-0.550782,-0.206395,0.031963,Gempa
356,-0.580447,-0.185145,0.035414,Gempa
357,-0.516409,-0.156071,0.03186,Gempa
358,-0.340487,-0.120083,0.019159,Gempa
359,-0.070792,-0.078446,-0.001772,Gempa
360,0.234821,-0.032806,-0.027297,Gempa
361,0.497201,0.015031,-0.052212,Gempa
362,0.647444,0.063311,-0.071204,Gempa
363,0.65405,0.110314,-0.080211,Gempa
364,0.530583,0.154286,-0.077408,Gempa
365,0.325256,0.193539,-0.06364,Gempa
366,0.097494,0.226667,-0.042105,Gempa
367,-0.106607,0.252688,-0.017349,Gempa
368,-0.268333,0.271054,0.006221,Gempa
369,-0.394507,0.281505,0.025663,Gempa
370,-0.500118,0.283948,0.040007,Gempa
371,-0.59407,0.278487,0.049898,Gempa
372,-0.682106,0.265469,0.056546,Gempa
373,-0.772762,0.245413,0.060593,Gempa
374,-0.870542,0.218949,0.061502,Gempa
375,-0.963182,0.186913,0.057567,Gempa
376,-1.016852,0.15046,0.046571,Gempa
377,-0.986705,0.111015,0.026778,Gempa
378,-0.842973,0.070094,-0.002031,Gempa
379,-0.593098,0.029082,-0.037802,Gempa
380,-0.281177,-0.010875,-0.076074,Gempa
381,0.029282,-0.048777,-0.110507,Gempa
382,0.278379,-0.083642,-0.134161,Gempa
383,0.428561,-0.114496,-0.141233,Gempa
384,0.471881,-0.140472,-0.128892,Gempa
385,0.426326,-0.160948,-0.098622,Gempa
386,0.323654,-0.175648,-0.056337,Gempa
387,0.197297,-0.184642,-0.011003,Gempa
388,0.076342,-0.188312,0.028244,Gempa
389,-0.01823,-0.187303,0.055076,Gempa
390,-0.078335,-0.182434,0.06757,Gempa
391,-0.109394,-0.174538,0.068046,Gempa
392,-0.12093,-0.164319,0.061204,Gempa
393,-0.112926,-0.152343,0.051938,Gempa
394,-0.067922,-0.139105,0.044023,Gempa
395,0.042426,-0.125103,0.039783,Gempa
396,0.234525,-0.110829,0.040467,Gempa
397,0.495498,-0.096645,0.046679,Gempa
398,0.790698,-0.082709,0.058394,Gempa
399,1.083092,-0.069086,0.074624,Gempa
400,1.34592,-0.055914,0.09298,Gempa
401,0.196649,-0.173388,-0.170101,Gempa
402,0.230028,-0.176554,-0.161655,Gempa
403,0.258005,-0.173289,-0.142364,Gempa
