X;Y;Z
0,001889;-0,032795;0,056865
0,00394;-0,03241;0,086062
0,005843;-0,031161;0,110558
0,007042;-0,029458;0,130357
0,007067;-0,0276;0,145731
0,005766;-0,025791;0,156823
0,003409;-0,024186;0,163495
0,000629;-0,0229;0,165479
-0,001841;-0,021983;0,162756
-0,003468;-0,021381;0,155758
-0,004102;-0,020933;0,145063
-0,004049;-0,020419;0,130853
-0,004065;-0,019616;0,112565
-0,005302;-0,018287;0,089113
-0,00914;-0,016207;0,059787
-0,016638;-0,013291;0,025163
-0,027564;-0,0097;-0,012663
-0,039759;-0,00578;-0,050346
-0,049631;-0,001879;-0,083815
-0,053519;0,001828;-0,108986
-0,049291;0,005375;-0,122698
-0,037243;0,008786;-0,123639
-0,019661;0,011894;-0,112883
0,000121;0,014395;-0,093703
0,018357;0,016017;-0,070438
0,031368;0,016597;-0,047056
0,036278;0,016051;-0,026114
0,031881;0,014282;-0,008384
0,019202;0,01114;0,006754
0,001204;0,00649;0,020461
-0,018643;0,000275;0,033456
-0,037722;-0,007534;0,045189
-0,054423;-0,016985;0,053552
-0,067464;-0,028068;0,055376
-0,075189;-0,040572;0,047847
-0,075486;-0,053992;0,029952
-0,066607;-0,067542;0,003051
-0,048003;-0,080284;-0,029543
-0,020427;-0,09129;-0,063703
0,014171;-0,099765;-0,095351
0,052313;-0,105111;-0,120377
0,088516;-0,106941;-0,134468
0,11553;-0,105079;-0,133847
0,126364;-0,099551;-0,116847
0,118329;-0,090571;-0,085637
0,09615;-0,078508;-0,046782
0,070893;-0,063832;-0,009504
0,055071;-0,047046;0,017496
0,055809;-0,028615;0,029281
0,070393;-0,008907;0,026585
0,087868;0,011805;0,015217
0,09465;0,033259;0,003671
0,081195;0,055105;-0,000049
0,047186;0,076862;0,008966
0,003143;0,097929;0,031543
-0,031888;0,117636;0,06473
-0,036878;0,135319;0,102878
0,002311;0,150416;0,138974
0,084732;0,162575;0,165969
0,00286;0,010184;0,007167
0,002114;0,031055;0,000692
0,002183;0,056541;-0,007599
0,003378;0,07544;-0,015794
0,005339;0,076116;-0,021857
0,007031;0,057557;-0,02446
0,007161;0,033381;-0,023771
0,004847;0,019484;-0,021362
0,000259;0,019224;-0,018789
-0,005175;0,022097;-0,016195
-0,009338;0,014228;-0,012427
-0,010539;-0,008143;-0,00642
-0,008601;-0,035547;0,001116
-0,005117;-0,058655;0,007245
-0,00229;-0,078359;0,008572
-0,001442;-0,096491;0,00358
-0,00238;-0,105643;-0,006418
-0,003807;-0,097291;-0,017898
-0,00447;-0,074922;-0,026958
-0,003999;-0,053621;-0,031194
-0,002686;-0,047315;-0,030573
-0,000885;-0,053907;-0,02704
0,001148;-0,054429;-0,023002
0,003084;-0,033942;-0,019882
0,004418;0,000534;-0,017814
0,004699;0,028135;-0,016217
0,004055;0,033598;-0,01465
0,003332;0,017378;-0,0133
0,003376;-0,006456;-0,012777
0,004274;-0,021023;-0,01376
0,005415;-0,018563;-0,016916
0,006024;-0,005907;-0,022478
0,005575;0,001192;-0,029272
0,003943;-0,00585;-0,034797
0,001331;-0,019054;-0,037427
-0,001835;-0,0245;-0,038063
-0,004953;-0,017796;-0,038656
-0,007311;-0,006441;-0,039444
-0,008308;-0,000755;-0,037815
-0,00771;-0,002584;-0,030184
-0,005768;-0,003946;-0,016289
-0,003199;-0,000263;-0,000997
-0,000988;0,001222;0,009947
0,000054;-0,006845;0,014857
-0,000119;-0,019771;0,016009
-0,000617;-0,028066;0,016533
-0,000302;-0,029607;0,017887
0,001315;-0,028767;0,01932
0,00373;-0,028864;0,019277
0,005753;-0,029138;0,016957
0,006243;-0,027164;0,012687
0,004786;-0,023093;0,007989
0,001846;-0,020434;0,006042
-0,0015;-0,02105;0,010811
-0,004073;-0,02175;0,023821
-0,005072;-0,018629;0,042139
-0,004323;-0,012295;0,060801
-0,002317;-0,006645;0,076463
-0,000049;-0,005231;0,088417
0,001363;-0,01047;0,097381
0,001284;-0,023721;0,103801
0,000001;-0,043685;0,107384
-0,00138;-0,066046;0,108404
-0,001564;-0,086836;0,108463
0,000017;-0,104738;0,108888
0,002686;-0,118308;0,10914
0,004971;-0,123782;0,107737
0,005535;-0,118756;0,104091
0,003929;-0,106281;0,099047
0,000781;-0,092904;0,094158
-0,002733;-0,083058;0,0905
-0,005558;-0,074953;0,087941
-0,007032;-0,061964;0,08545
-0,006866;-0,040199;0,081809
-0,005074;-0,013533;0,076107
-0,002048;0,010764;0,068077
0,001276;0,028104;0,058412
0,003571;0,036395;0,048634
0,00389;0,034022;0,040195
0,002401;0,021504;0,033588
0,00032;0,003282;0,028256
-0,000832;-0,014914;0,023083
-0,000239;-0,03022;0,017016
0,001653;-0,043808;0,009559
0,003557;-0,058046;0,000958
0,004244;-0,071436;-0,00797
0,003244;-0,077804;-0,016366
0,001008;-0,073419;-0,023841
-0,001565;-0,062487;-0,030553
-0,003703;-0,052387;-0,0367
-0,004964;-0,04612;-0,041613
-0,00518;-0,041286;-0,04345
-0,004397;-0,034248;-0,040257
-0,002922;-0,024764;-0,031444
-0,001422;-0,016713;-0,018437
-0,000668;-0,013459;-0,004201
-0,00082;-0,014235;0,008222
-0,001047;-0,016725;0,017071
-0,000238;-0,020383;0,022144
0,001985;-0,024808;0,024261
0,004944;-0,027083;0,024433
0,007329;-0,023146;0,023221
0,008101;-0,011384;0,020574
0,007113;0,005278;0,015895
0,004947;0,020809;0,008172
0,002373;0,030837;-0,003633
-0,000008;0,035536;-0,019806
-0,001867;0,036737;-0,039257
-0,003082;0,034169;-0,059684
-0,003685;0,026101;-0,078385
-0,003889;0,012172;-0,093269
-0,004091;-0,00531;-0,103373
-0,004682;-0,022376;-0,108455
-0,005745;-0,035964;-0,10862
-0,006846;-0,045666;-0,104737
-0,007159;-0,052847;-0,098821
-0,006057;-0,058401;-0,093381
-0,003633;-0,061174;-0,090091
-0,000622;-0,058233;-0,088678
0,002061;-0,047226;-0,086992
0,003775;-0,028598;-0,082692
0,004365;-0,005509;-0,074953
0,004028;0,018057;-0,064658
0,003094;0,03954;-0,05365
0,00197;0,05847;-0,04393
0,001143;0,074683;-0,037004
0,001065;0,08685;-0,033295
0,001914;0,093654;-0,031846
0,003328;0,095295;-0,030631
0,004433;0,09279;-0,027586
0,004355;0,086551;-0,022017
0,002838;0,076283;-0,015012
0,000475;0,061712;-0,00793
-0,001602;0,043175;-0,000821
-0,002498;0,021865;0,007363
-0,002139;-0,000143;0,017499
-0,001136;-0,020023;0,029316
-0,000301;-0,034671;0,04136
-0,000274;-0,041805;0,051923
-0,001297;-0,041499;0,059795
-0,003094;-0,036458;0,063978
-0,004939;-0,029961;0,06336
-0,005975;-0,024065;0,057332
-0,005625;-0,02027;0,046583
-0,003847;-0,020374;0,033047
-0,001193;-0,02516;0,019042
0,001382;-0,032841;0,006089
0,002951;-0,039695;-0,005862
0,003176;-0,042154;-0,018141
0,002618;-0,038663;-0,03213
0,002411;-0,030011;-0,047713
0,003558;-0,017729;-0,062838
0,006264;-0,002771;-0,075203
0,009775;0,013849;-0,084309
0,012994;0,030401;-0,091789
0,015183;0,045636;-0,099645
0,016143;0,059946;-0,107294
0,016061;0,074359;-0,11055
0,015383;0,088623;-0,104724
0,014701;0,1004;-0,088477
0,014584;0,106357;-0,064652
0,01529;0,104801;-0,038429
0,016492;0,09733;-0,014404
0,017296;0,08751;0,005486
0,016757;0,07853;0,021844
0,014496;0,072216;0,036233
0,01095;0,069512;0,049354
0,007129;0,071511;0,060249
0,003992;0,079496;0,0674
0,001851;0,093267;0,070845
0,000215;0,109917;0,073648
-0,001988;0,125033;0,08059
-0,005945;0,134773;0,093529
-0,012425;0,136834;0,108369
-0,021361;0,130442;0,118029
-0,031792;0,116041;0,117738
-0,042316;0,095219;0,107717
-0,051684;0,070832;0,092006
-0,05913;0,046473;0,0744
-0,064439;0,0249;0,055764
-0,06786;0,007242;0,035715
-0,069949;-0,005688;0,015225
-0,071354;-0,012317;-0,003609
-0,072388;-0,011689;-0,019083
-0,072462;-0,005284;-0,0303
-0,070055;0,003201;-0,03667
-0,063733;0,009714;-0,037546
-0,05333;0,011918;-0,032544
-0,040215;0,009854;-0,022509
-0,026586;0,004419;-0,009908
-0,01417;-0,004177;0,002185
-0,003256;-0,016092;0,011136
0,007163;-0,031023;0,01451
0,018592;-0,048451;0,009609
0,032297;-0,068169;-0,005905
0,049104;-0,089937;-0,032626
0,069816;-0,112712;-0,068175
0,095386;-0,134369;-0,106891
0,126137;-0,152393;-0,141083
0,160836;-0,165353;-0,163489
0,000636;-0,000894;-0,000484
0,001034;-0,00076;-0,000495
0,001272;-0,000548;-0,000516
0,001227;-0,000347;-0,000444
0,000979;-0,000262;-0,000272
0,00073;-0,000314;-0,000152
0,000628;-0,000446;-0,000203
0,000666;-0,000583;-0,000331
0,000724;-0,000654;-0,000364
0,000714;-0,000606;-0,000254
0,000661;-0,000451;-0,000093
0,000606;-0,000273;0,000007
0,000512;-0,000164;0,000013
0,000345;-0,000138;-0,000023
0,000163;-0,000131;-0,000053
0,000041;-0,000078;-0,000085
-0,000029;0,000002;-0,000093
-0,000092;-0,000003;0,000019
-0,00013;-0,000168;0,000277
-0,000053;-0,000422;0,000526
0,000187;-0,000609;0,000562
0,000449;-0,000618;0,000337
0,000444;-0,000454;-0,000024
0,000082;-0,000215;-0,000341
-0,000345;-0,000018;-0,000536
-0,000495;0,000071;-0,000661
-0,000357;0,000049;-0,000743
-0,000177;-0,000049;-0,000683
-0,000155;-0,000197;-0,0004
-0,000301;-0,000387;0,000011
-0,000487;-0,000614;0,000348
-0,000608;-0,000841;0,000479
-0,000658;-0,000987;0,000416
-0,000643;-0,000971;0,000256
-0,000514;-0,000792;0,000059
-0,000307;-0,000566;-0,000192
-0,000201;-0,000421;-0,000468
-0,000281;-0,000382;-0,000622
-0,000377;-0,000366;-0,000559
-0,000281;-0,000266;-0,000374
-0,000039;-0,000069;-0,000229
0,000092;0,000116;-0,000172
-0,000113;0,000157;-0,000145
-0,000681;0,000039;-0,000111
-0,001435;-0,000126;-0,000118
-0,002171;-0,000186;-0,000245
-0,002803;-0,000089;-0,000452
-0,003332;0,00007;-0,000549
-0,003754;0,000174;-0,000403
-0,004062;0,000223;-0,000117
-0,004294;0,000306;0,000097
-0,004543;0,000502;0,000133
-0,004897;0,000824;0,000038
-0,005335;0,001224;-0,000079
-0,005694;0,001651;-0,000145
